,Title,Platform,Publisher,Developer,VGC_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release,Last_Update
279,TigerShark,PC,GT Interactive,n-Space,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97,N/A
280,Tigger's Honey Hunt,PC,Atari,Doki Denki,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 01,N/A
281,Tiki Monkeys,And,MilkCap,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 13,N/A
282,Tiki Towers,WW,RealNetworks,RealNetworks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 08,N/A
283,Tile Temple Tactics,And,AppyNation Ltd.,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 14,N/A
284,Tiles of Fate,NES,American Video Entertainment,C&E Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90,N/A
285,Tilk: Aoi Umi kara Kita Shoujo,PS,TGL,TGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 97,N/A
286,Tilk: Aoi Umi kara Kita Shoujo,SAT,TGL,TGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 97,N/A
287,Tilk: Aoi Umi kara Kita Shoujo,PSN,Sony Computer Entertainment,TGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Apr 09,N/A
288,Tilt to Live 2: Redonkulous,And,One Man Left,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 14,N/A
289,Tilt!,PS,Virgin Interactive,NMS Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97,N/A
290,Tim Stockdale's Riding Star,PS2,DTP Entertainment,DTP Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Sep 08,N/A
291,Tim Stockdale's Riding Star,PC,DTP Entertainment,DTP Entertainment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Sep 08,N/A
292,Timberman,And,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th May 14,N/A
293,Time and Tune,XBL,Microsoft,Justin Le Clair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Apr 09,N/A
294,Time Bokan Series: Bokan Densetsu,WS,Banpresto,Alpha Unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Apr 00,N/A
295,Time Bokan Series: Bokan to Ippatsu! Doronbo,PS,Banpresto,Banpresto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Nov 96,N/A
296,Time Bokan: Yattaman,PS,Unknown,Banpresto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 01,N/A
297,Time Commando,SAT,Acclaim Entertainment,Adeline Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Mar 98,N/A
298,Time Commando,PC,Activision,Adeline Software,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 96,N/A
299,Time Cruise,PCE,NEC,Sankindo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92,N/A
300,Time Flows But Does Not Return,XBL,Microsoft,The Shape of Games to Come,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 09,N/A
301,Time Gal,SCD,Renovation,Wolf Team,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93,N/A
